Județ,Nume Unități,Latitude,Longitude,Tip
Iași,"Centrul Județean de Resurse și Asistență Educațională Iași, județul Iași",4.716.491.509.999.990,275.867.552,Centrul Județean de Resurse și Asistență Educațională
Iași,"Colegiul Tehnic ""Ion Holban"", județul Iași",471.485.515,275.761.483,Colegiul Tehnic
Iași,"Liceul Teoretic ""Alexandru Ioan Cuza"" Iași, județul Iași",471.618.609,276.106.488,Liceul Teoretic
Iași,"Colegiul Național de Artă ""Octav Băncilă"" Iași, județul Iași",47.165.023,2.758.542,Colegiul Național de Artă
Iași,"Școala Gimnazială ""Iordache Cantacuzino"" Pașcani, din localitatea Pașcani, județul Iași",472.458.122,267.262.673,Școală Gimnazială
Iași,"Școala Gimnazială ""D.D.Pătrășcanu"", Tomești, Județul Iași",47.135.613,276.920.495,Școală Gimnazială
Iași,"Colegiul Economic Administrativ Iași, Județul Iași",471.669.924,275.887.311,Colegiul Economic Administrativ
Iași,"Școala Gimnazială ""Ion Ghica"" Iași, Județul Iași",471.512.159,275.978.076,Școală Gimnazială
Iași,"Liceul Teoretic ""Miron Costin"" Iași, Județul Iași",47.255.837,26.721.498,Liceul Teoretic
Iași,"Școala Gimnazială ""Carmen Sylva"" Iași, Județul Iași",47.180.491,275.019.399,Școală Gimnazială
Iași,"Colegiul Național ""Emil Racoviță"" Iași, județul Iași",4.714.876.940.000.000,275.870.503,Colegiu Național
Iași,"Școala Gimnazială nr. 1 Comarna, județul Iași",470.678.683,277.766.346,Școală Gimnazială
Ilfov,"Centrul Școlar pentru Educație Incluzivă Periș, localitatea Periș, județul Ilfov",44.673.679,259.905.729,Centrul Școlar pentru Educație Incluzivă
Ilfov,"Liceul Teoretic Nr. 1 Periș, localitatea Periș, județul Ilfov",446.741.992,259.919.556,Liceul Teoretic
Ilfov,"Școala Gimnazială Nr. 2, Crețești, localitatea Vidra, județul Ilfov",442.792.408,261.340.107,Școală Gimnazială
Ilfov,"Școala Gimnazială ""Petru Rareș"" din localitatea Chiajna, județul Ilfov",444.502.786,259.857.401,Școală Gimnazială
Ilfov,"Grădinița ""Rița-Gărgărița"", localitatea Brănești, județul Ilfov",44.456.526,263.362.248,Grădinița
Ilfov,"Școala Gimnazială Nr. 1, localitatea Bragadiru județul Ilfov",4.437.817,2.600.608,Școală Gimnazială
Ilfov,"Palatul Copiilor Și Elevilor Ilfov, județul Ilfov",445.602.355,259.449.386,Palatul Copiilor Și Elevilor
Ilfov,"Liceul cu program sportiv prelungit ""Helmut Duckadam"", Clinceni, județul Ilfov",443.783.044,259.418.086,Liceul cu program sportiv prelungit
Maramureș,"Liceul Tehnologic Ocna Șugatag, Ocna Șugatag, județul Maramureș",477.809.322,239.377.118,Liceu Tehnologic
Maramureș,"Școala Gimnazială Remetea Chioarului, din localitatea Remetea Chioarului, județul Maramureș",4.752.924.729.999.990,235.438.645,Școală Gimnazială
Maramureș,"Școala Profesională nr.1 Vișeu de Sus, Județul Maramureș",4.771.145.079.999.990,244.295.382,Școală Profesională
Maramureș,"Liceul Tehnologic Agricol ""Alexiu Berinde"", Seini, județul Maramureș",477.468.555,232.764.124,Liceu Tehnologic Agricol
Mureș,"Palatul Copiilor Târgu Mureș - structura Sighișoara, județul Mureș",4.653.920.859.999.990,245.691.492,Palatul Copiilor
Mureș,"Liceul Tehnologic ""Ion Vlasiu"" Târgu Mureș, Județul Mureș",4.655.832.410.000.000,245.784.532,Liceu Tehnologic
Mureș,"Grădinița cu program prelungit ""Emanuel"", județul Mureș",467.717.104,247.010.334,Grădinița cu program prelungit
